onboard,engage,source,target,t,intimacy
False,False,17,8,28,0.9052869546929831
False,False,17,15,28,0.9052869546929831
False,False,19,1,28,0.9052869546929831
False,False,19,4,28,0.9052869546929831
False,False,13,15,28,0.914339824239913
False,False,5,1,28,0.9234832224823122
False,False,5,10,28,0.9234832224823122
False,False,5,16,28,0.9327180547071353
False,False,7,11,28,1.913014104114056
False,False,4,18,28,0.9420452352542067
False,False,8,9,28,0.9514656876067488
False,False,20,23,28,0.9514656876067488
False,False,9,4,28,0.9609803444828162
False,False,9,11,28,0.9609803444828162
False,False,7,13,28,0.9802960494069208
False,False,7,14,28,0.9802960494069208
False,False,17,25,28,0.9802960494069208
False,False,4,10,28,0.9900990099009901
False,False,4,26,28,0.9900990099009901
False,False,1,0,29,0.9727641099297042
False,False,0,1,29,0.07644039241189918
False,False,2,0,29,0.07644039241189918
False,False,0,2,29,0.07644039241189918
False,False,2,1,29,0.07644039241189918
False,False,1,2,29,0.9727641099297042
False,False,3,0,29,0.7720479633601817
False,False,3,4,29,1.5997878784008497
False,False,4,0,29,0.7875661274237213
False,False,4,1,29,1.7678621768306422
False,False,4,5,29,0.7875661274237213
False,False,6,2,29,0.7875661274237213
False,False,6,3,29,2.4764047038211126
False,False,7,8,29,0.8033962065849382
False,False,4,2,29,0.8114301686507875
False,False,4,6,29,0.8114301686507875
False,False,3,6,29,2.5420803719503167
False,False,6,9,29,0.8360173141910751
False,False,12,2,29,0.8360173141910751
False,False,7,5,29,0.8528212622063156
False,False,7,6,29,0.8528212622063156
